,states,states_code,id,year,population
0,Alabama,AL,1,2010,4785437
1,Alaska,AK,2,2010,713910
2,Arizona,AZ,4,2010,6407172
3,Arkansas,AR,5,2010,2921964
4,California,CA,6,2010,37319502
5,Colorado,CO,8,2010,5047349
6,Connecticut,CT,9,2010,3579114
7,Delaware,DE,10,2010,899593
8,District of Columbia,DC,11,2010,605226
9,Florida,FL,12,2010,18845537
10,Georgia,GA,13,2010,9711881
11,Hawaii,HI,15,2010,1363963
12,Idaho,ID,16,2010,1570746
13,Illinois,IL,17,2010,12840503
14,Indiana,IN,18,2010,6490432
15,Iowa,IA,19,2010,3050745
16,Kansas,KS,20,2010,2858190
17,Kentucky,KY,21,2010,4348181
18,Louisiana,LA,22,2010,4544532
19,Maine,ME,23,2010,1327629
20,Maryland,MD,24,2010,5788645
21,Massachusetts,MA,25,2010,6566307
22,Michigan,MI,26,2010,9877510
23,Minnesota,MN,27,2010,5310828
24,Mississippi,MS,28,2010,2970548
25,Missouri,MO,29,2010,5995974
26,Montana,MT,30,2010,990697
27,Nebraska,NE,31,2010,1829542
28,Nevada,NV,32,2010,2702405
29,New Hampshire,NH,33,2010,1316762
30,New Jersey,NJ,34,2010,8799446
31,New Mexico,NM,35,2010,2064552
32,New York,NY,36,2010,19399878
33,North Carolina,NC,37,2010,9574323
34,North Dakota,ND,38,2010,674715
35,Ohio,OH,39,2010,11539336
36,Oklahoma,OK,40,2010,3759944
37,Oregon,OR,41,2010,3837491
38,Pennsylvania,PA,42,2010,12711160
39,Rhode Island,RI,44,2010,1053959
40,South Carolina,SC,45,2010,4635649
41,South Dakota,SD,46,2010,816166
42,Tennessee,TN,47,2010,6355311
43,Texas,TX,48,2010,25241971
44,Utah,UT,49,2010,2775332
45,Vermont,VT,50,2010,625879
46,Virginia,VA,51,2010,8023699
47,Washington,WA,53,2010,6742830
48,West Virginia,WV,54,2010,1854239
49,Wisconsin,WI,55,2010,5690475
50,Wyoming,WY,56,2010,564487
51,Puerto Rico,PR,72,2010,3721525
52,Alabama,AL,1,2010,4785437
53,Alaska,AK,2,2010,713910
54,Arizona,AZ,4,2010,6407172
55,Arkansas,AR,5,2010,2921964
56,California,CA,6,2010,37319502
57,Colorado,CO,8,2010,5047349
58,Connecticut,CT,9,2010,3579114
59,Delaware,DE,10,2010,899593
60,District of Columbia,DC,11,2010,605226
61,Florida,FL,12,2010,18845537
62,Georgia,GA,13,2010,9711881
63,Hawaii,HI,15,2010,1363963
64,Idaho,ID,16,2010,1570746
65,Illinois,IL,17,2010,12840503
66,Indiana,IN,18,2010,6490432
67,Iowa,IA,19,2010,3050745
68,Kansas,KS,20,2010,2858190
69,Kentucky,KY,21,2010,4348181
70,Louisiana,LA,22,2010,4544532
71,Maine,ME,23,2010,1327629
72,Maryland,MD,24,2010,5788645
73,Massachusetts,MA,25,2010,6566307
74,Michigan,MI,26,2010,9877510
75,Minnesota,MN,27,2010,5310828
